"Table 2. Gene expression data: 48 SLE, 42 Control"																																																																																																																																																																																												
			"Ctrl 1"		"Ctrl 2"		"Ctrl 3"		"Ctrl 4"		"Ctrl 5"		"Ctrl 6"		"Ctrl 7"		"Ctrl 8"		"Ctrl 9"		"Ctrl 10"		"Ctrl 11"		"Ctrl 12"		"Ctrl 13"		"Ctrl 14"		"Ctrl 15"		"Ctrl 16"		"Ctrl 17"		"Ctrl 18"		"Ctrl 19"		"Ctrl 20"		"Ctrl 21"		"Ctrl 22"		"Ctrl 23"		"Ctrl 24"		"Ctrl 25"		"Ctrl 26"		"Ctrl 27"		"Ctrl 28"		"Ctrl 29"		"Ctrl 30"		"Ctrl 31"		"Ctrl 32"		"Ctrl 33"		"Ctrl 34"		"Ctrl 35"		"Ctrl 36"		"Ctrl 37"		"Ctrl 38"		"Ctrl 39"		"Ctrl 40"		"Ctrl 41"		"Ctrl 42"		"SLE 1"		"SLE 2"		"SLE 3"		"SLE 4"		"SLE 5"		"SLE 6"		"SLE 7"		"SLE 8"		"SLE 9"		"SLE 10"		"SLE 11"		"SLE 12"		"SLE 13"		"SLE 14"		"SLE 15"		"SLE 16"		"SLE 17"		"SLE 18"		"SLE 19"		"SLE 20"		"SLE 21"		"SLE 22"		"SLE 23"		"SLE 24"		"SLE 25"		"SLE 26"		"SLE 27"		"SLE 28"		"SLE 29"		"SLE 30"		"SLE 31"		"SLE 32"		"SLE 33"		"SLE 34"		"SLE 35"		"SLE 36"		"SLE 37"		"SLE 38"		"SLE 39"		"SLE 40"		"SLE 41"		"SLE 42"		"SLE 43"		"SLE 44"		"SLE 45"		"SLE 46"		"SLE 47"		"SLE 48"							
"32649_at"	"X59871"	"Transcription factor 7 (T-cell specific, HMG-box)"	14282.2	"P"	11463.3	"P"	12354.5	"P"	8642.2	"P"	17321.5	"P"	19375.8	"P"	12433.6	"P"	15447.4	"P"	14738.8	"P"	12854.2	"P"	8448.9	"P"	13229.1	"P"	8682.6	"P"	2257.1	"P"	2795.1	"P"	15949.2	"P"	5827	"P"	13885.9	"P"	20474.3	"P"	19541.8	"P"	14965.7	"P"	12690.3	"P"	14911.3	"P"	9874.1	"P"	22486.7	"P"	15251.3	"P"	10247.8	"P"	8525.4	"P"	15988.1	"P"	14634.8	"P"	15792.2	"P"	11113.3	"P"	13483.8	"P"	20422.7	"P"	16974.5	"P"	11668.3	"P"	12153.8	"P"	15750.5	"P"	20418.1	"P"	16694	"P"	17042	"P"	12717.1	"P"	15291.9	"P"	5135	"P"	5483.2	"P"	17707.8	"P"	10496.8	"P"	11933.2	"P"	8041.3	"P"	15097.3	"P"	6586.3	"P"	9736.5	"P"	3330.2	"P"	2147.2	"P"	9681.4	"P"	5992.8	"P"	13438	"P"	1576.6	"P"	7687.8	"P"	9128.5	"P"	5560.5	"P"	6749.2	"P"	2528	"P"	4326.8	"P"	1588	"P"	7782.1	"P"	14445.2	"P"	20873.3	"P"	8182.8	"P"	4057	"P"	7673.4	"P"	7625.1	"P"	4093.4	"P"	19725.8	"P"	20348.1	"P"	5681.2	"P"	4171.8	"P"	11804.1	"P"	19638.5	"P"	5950.6	"P"	3254.9	"P"	7601.8	"P"	3548.8	"P"	5972.3	"P"	9814.9	"P"	5719.9	"P"	11591.9	"P"	6822.2	"P"	18986.8	"P"	7521.8	"P"	13579	8729	0.64	0.000008685		
"32772_s_at"	"U10473"	"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1"	143.7	"A"	232.4	"A"	84.8	"A"	285	"P"	120.1	"P"	-54.4	"A"	136.9	"A"	144.6	"A"	130.4	"P"	188.8	"P"	167.9	"A"	140.5	"A"	124.1	"A"	-65.6	"A"	325.9	"P"	31.4	"A"	503.7	"P"	73.7	"A"	171.1	"A"	142.9	"A"	364.6	"P"	67.2	"A"	87.1	"A"	85.9	"A"	144	"A"	48.4	"A"	342.3	"A"	99.9	"A"	213.9	"A"	26.3	"A"	94.7	"A"	104.2	"A"	116.5	"P"	25.9	"A"	51.2	"A"	155	"P"	79.2	"A"	136.1	"P"	140	"A"	93.1	"A"	62.3	"A"	141	"P"	174.7	"M"	288	"P"	119.2	"A"	201	"P"	35.1	"A"	316.9	"P"	92.2	"A"	71	"A"	221.7	"P"	228.9	"P"	11.1	"A"	672.1	"P"	216.5	"P"	331.3	"P"	266.9	"A"	44.9	"A"	77.2	"A"	143.6	"A"	290.2	"P"	230.9	"P"	224.9	"A"	812.4	"P"	212.9	"A"	125.3	"A"	96.8	"A"	326.3	"P"	122.8	"A"	329.2	"P"	249.6	"P"	421.7	"P"	414.2	"P"	75	"A"	284.8	"P"	195.3	"A"	450.2	"P"	315.8	"P"	168	"A"	301.5	"P"	444.3	"P"	195.2	"P"	133.5	"P"	508.3	"P"	276.2	"P"	262.8	"P"	152.7	"A"	-25.9	"A"	98.1	"A"	144.3	"P"	70	191	2.71	0.0002929204		
"32775_r_at"	"AB006746"	"Phospholipid scramblase 1"	6683.3	"P"	6021.5	"P"	5401.7	"P"	4713.2	"P"	6467.6	"P"	3512.1	"P"	4805.9	"P"	3894.7	"P"	4140.2	"P"	3003.5	"P"	7686.7	"P"	5145.5	"P"	3020.3	"P"	3227.3	"P"	6663	"P"	4183.5	"P"	3125.1	"P"	2786.4	"P"	1930	"P"	5229.4	"P"	4846.7	"P"	4513.8	"P"	2450	"P"	1563.7	"P"	3127.1	"P"	2674	"P"	1666.3	"P"	5031	"P"	2277.4	"P"	4441.6	"P"	2346	"P"	2683.5	"P"	3273.6	"P"	1889.1	"P"	3513.4	"P"	3209.4	"P"	3200	"P"	3572.4	"P"	2729.6	"P"	3979.1	"P"	3079.3	"P"	5136.7	"P"	5558.1	"P"	11673	"P"	18886.6	"P"	3437.8	"P"	5403.4	"P"	8088.5	"P"	7985.5	"P"	5158.5	"P"	4580	"P"	8336.4	"P"	11006.6	"P"	14375.4	"P"	5136	"P"	9525.5	"P"	11209.5	"P"	15905.3	"P"	2579.4	"P"	6880.7	"P"	19446.4	"P"	14288	"P"	6954.1	"P"	4661.9	"P"	8540.2	"P"	7634.1	"P"	5625.3	"P"	7209.3	"P"	12294.2	"P"	6441.7	"P"	9392.5	"P"	5614.8	"P"	5649.6	"P"	1997.7	"P"	6589.2	"P"	14234.6	"P"	10176.4	"P"	2280.3	"P"	10430.3	"P"	13058.9	"P"	14806.9	"P"	5472.4	"P"	8240.8	"P"	6945.8	"P"	8432.4	"P"	9576.8	"P"	3058.1	"P"	3529.2	"P"	3373.1	"P"	3560.3	"P"	3565	7719	2.17	1.52965259692476E-008		
"32834_r_at"	"AF013591"	"sudD (suppressor of bimD6, Aspergillus nidulans) homolog"	589	"P"	640.9	"P"	420.5	"P"	244.6	"P"	235.1	"P"	807.2	"P"	311.8	"P"	716.9	"P"	239.9	"P"	253.4	"P"	395.8	"P"	678.7	"P"	389.4	"A"	239.4	"P"	336.7	"A"	282.5	"P"	306.7	"P"	259.8	"P"	251.9	"P"	250.9	"P"	235.6	"P"	276.7	"P"	78.5	"A"	194.4	"A"	113.4	"A"	230.1	"P"	494	"P"	227.2	"P"	43.2	"A"	252.7	"P"	99.8	"P"	158.7	"P"	210	"P"	113.7	"M"	317.9	"P"	142.1	"P"	169.8	"P"	137.6	"P"	75.5	"P"	306.8	"P"	299.3	"P"	193.3	"P"	473.8	"P"	199	"A"	251.7	"P"	206.2	"P"	596.2	"P"	422.5	"P"	959.1	"P"	414.5	"P"	261.2	"P"	499.2	"P"	137.7	"P"	551.8	"P"	149.7	"P"	544.6	"P"	154.5	"P"	1120.7	"P"	295.3	"P"	132.4	"P"	209.4	"P"	518.2	"P"	491.3	"P"	1413.1	"P"	244.8	"P"	434	"P"	671.5	"P"	302	"P"	486	"P"	717.6	"P"	381.8	"P"	527.8	"P"	1264.3	"P"	243.3	"A"	147.2	"P"	542.8	"P"	479.6	"P"	346.5	"P"	525.3	"P"	318.9	"P"	528.9	"P"	286.2	"P"	430.7	"P"	368.6	"P"	650.5	"P"	767.4	"P"	153	"A"	91.1	"A"	214.5	"P"	333.8	"P"	210	387	1.84	0.0004927486		
"32901_s_at"	"AC005192"	"Interferon-related developmental regulator 1"	1100.7	"P"	967.5	"P"	995.6	"P"	1049.8	"P"	1110.1	"P"	1261.8	"P"	1105.4	"P"	1210.7	"P"	1481.9	"P"	1369.1	"P"	1012.3	"P"	1028.9	"P"	1631.9	"P"	2569.1	"P"	1362.3	"P"	1342.1	"P"	1240.8	"P"	1327.6	"P"	211.2	"A"	1086.7	"P"	1089.8	"P"	1149.3	"P"	741	"P"	676.6	"P"	620.7	"P"	858.8	"P"	562	"A"	808.9	"P"	1094.5	"P"	865.8	"P"	451.3	"P"	768.2	"P"	809.3	"P"	471	"P"	574.6	"P"	768.9	"P"	944.5	"P"	611.6	"P"	546.5	"P"	838.9	"P"	826.4	"P"	759.3	"P"	1033.5	"P"	1026	"P"	911.3	"P"	1735.8	"P"	771.6	"P"	1221.4	"P"	1858.1	"P"	1128	"P"	1490.6	"P"	963.5	"P"	901.8	"P"	2834.1	"P"	1072.3	"P"	4954.4	"P"	1165	"P"	1548.4	"P"	2612.6	"P"	504.1	"P"	602.7	"P"	7205.5	"P"	1844	"P"	2456.5	"P"	1328.9	"P"	1251.3	"P"	949.1	"P"	1298.7	"P"	2689.1	"P"	1798.1	"P"	967.6	"P"	3457.5	"P"	1817.9	"P"	583.3	"P"	993.1	"P"	9574.8	"P"	1661.3	"P"	2003.7	"P"	930.1	"P"	1019.8	"P"	3000.7	"P"	1635.7	"P"	3018.4	"P"	2911	"P"	1803.2	"P"	3193.5	"P"	1036.7	"P"	1346.9	"P"	737.2	"P"	2499.4	"P"	902	1880	2.08	0.0002600974		
"32915_at"	"AL109730"	"EUROIMAGE 68600"	998.7	"A"	-225	"A"	-536.5	"A"	829.6	"P"	533.3	"A"	-291	"A"	3.8	"A"	-370.9	"P"	-162.1	"A"	-363.4	"P"	318.3	"A"	-73.9	"A"	-54.2	"P"	826.9	"A"	997.5	"P"	412.6	"A"	-160.7	"P"	-668.3	"A"	1064.5	"P"	1021.4	"A"	938.2	"P"	907.6	"A"	740.8	"A"	-706.3	"A"	1045.8	"A"	-457.4	"A"	-896.7	"A"	-71.8	"A"	720.1	"A"	-375.6	"A"	-202	"P"	-297.5	"A"	-245.3	"P"	196.6	"P"	-75.1	"P"	733.9	"A"	588.6	"A"	853.2	"P"	625.7	"A"	625.3	"A"	647.9	"A"	441.5	"A"	1051.1	"P"	-604	"P"	-65.4	"A"	558.9	"A"	905.2	"A"	-1185.3	"A"	-903.4	"A"	786.8	"A"	-617	"A"	-179.5	"A"	-1145.3	"A"	2604.2	"P"	-237.7	"A"	2086.2	"P"	11.6	"A"	-3081.8	"A"	899.9	"P"	-21.4	"A"	-1590	"A"	-150.5	"P"	-741.5	"A"	1349.8	"P"	-848.6	"A"	514.9	"P"	-13.1	"A"	-309.5	"A"	1544.8	"P"	274.2	"P"	-1233.4	"P"	1566.1	"P"	2433.6	"P"	-1197.3	"A"	-710.8	"A"	905	"P"	1741	"P"	842.9	"P"	838.1	"A"	257.8	"P"	996.9	"P"	1001.3	"P"	1542.7	"P"	2311	"P"	1414.2	"P"	1731.5	"P"	985.9	"A"	-80.2	"A"	526.7	"A"	146.9	"P"	141	586	4.15	0.0007291242		
"32916_at"	"X54134"	"Protein tyrosine phosphatase, receptor type, E"	3160.4	"P"	2591	"P"	2352.3	"P"	3648.1	"P"	3196.8	"P"	2872.3	"P"	2369.3	"P"	2797	"P"	3259.9	"P"	3940.3	"P"	2820	"P"	2392.9	"P"	1446.4	"P"	1408	"P"	3858.5	"P"	5597	"P"	7194.7	"P"	2646.6	"P"	838.2	"P"	2004.4	"P"	2422.2	"P"	2634.9	"P"	2643.8	"P"	2178.4	"P"	1257.2	"P"	2554.8	"P"	1910.3	"P"	3178.6	"P"	2598.4	"P"	3299	"P"	2121.9	"P"	2080.9	"P"	1768.5	"P"	1330.1	"P"	1901.7	"P"	1784.3	"P"	2169.4	"P"	1340.3	"P"	1142.2	"P"	1100.4	"P"	1100.7	"P"	1422.7	"P"	2936.2	"P"	3897	"P"	2992.2	"P"	2038.4	"P"	3388.6	"P"	3008.5	"P"	3481.3	"P"	1834	"P"	3721.4	"P"	3569.6	"P"	3882.1	"P"	4260.9	"P"	3962.6	"P"	3986.8	"P"	2732	"P"	1862.9	"P"	2621.8	"P"	2543.6	"P"	3691.3	"P"	4361.8	"P"	2612.1	"P"	9752.1	"P"	2282.6	"P"	6962.2	"P"	1369	"P"	2463.3	"P"	2421.6	"P"	3852.2	"P"	4663.7	"P"	3299.5	"P"	7443	"P"	2084.9	"P"	1585.6	"P"	5773.7	"P"	14113.4	"P"	5183.6	"P"	2565.2	"P"	3303.9	"P"	6714.2	"P"	9903.8	"P"	4437.2	"P"	9635.9	"P"	11559.4	"P"	2667.3	"P"	3433.2	"P"	2413.5	"P"	2287.5	"P"	2568.1	"P"	2314	4035	1.74	0.0002376848		
"33249_at"	"M16801"	"Nuclear receptor subfamily 3, group C, member 2"	1194.4	"P"	512.7	"P"	786.6	"P"	588.1	"P"	1024.6	"P"	1469.7	"P"	847.4	"P"	929.9	"P"	1381.2	"P"	1068.2	"P"	526.6	"P"	901.8	"P"	532.4	"P"	515.3	"P"	369.8	"P"	726.9	"P"	601.6	"P"	677.3	"P"	949.1	"P"	1568.4	"P"	1328.6	"P"	741	"P"	704	"P"	605.2	"P"	925.7	"P"	868.2	"P"	531.8	"A"	560.8	"P"	947.4	"P"	1120.5	"P"	938.7	"P"	690.5	"P"	806	"P"	950.8	"P"	1102.1	"P"	594	"P"	691.5	"P"	1351.2	"P"	837	"P"	1009.1	"P"	1589.9	"P"	511.8	"P"	781.4	"P"	291	"P"	345.4	"P"	1101.1	"P"	717.4	"P"	655	"P"	376.7	"P"	829.7	"P"	252.3	"P"	421.8	"P"	321.4	"P"	144.6	"A"	550.9	"P"	506.7	"P"	428.8	"M"	413.8	"P"	231.1	"A"	400.7	"P"	580	"P"	605.1	"P"	444.2	"M"	327.8	"P"	90.6	"A"	598.9	"P"	898.2	"P"	1523.7	"P"	639.1	"P"	521	"M"	621.7	"P"	544.2	"P"	466.4	"P"	882.8	"P"	821	"P"	306.7	"A"	441.8	"A"	450.9	"P"	1037.3	"P"	521.6	"P"	668.2	"P"	286.7	"P"	333.1	"P"	241.7	"P"	373	"P"	211.9	"P"	725.8	"P"	639	"A"	1084.3	"P"	344.2	"P"	820	484	0.59	2.05942221794029E-006		
"33309_at"	"AA521060"	"IMAGE-826408"	334.6	"P"	134.8	"P"	440.5	"P"	379.7	"P"	282.5	"P"	267.9	"P"	327.1	"P"	235.9	"P"	431.9	"P"	423.5	"P"	319.2	"P"	177.9	"P"	142.7	"P"	386.4	"P"	491.7	"P"	210	"P"	412.9	"P"	284.9	"A"	60.9	"A"	136	"A"	211.3	"P"	340.7	"P"	116.1	"A"	203.1	"A"	42.8	"A"	302.1	"P"	-151.8	"A"	251.2	"P"	65.8	"A"	181.8	"P"	145.4	"A"	147.7	"P"	209.7	"P"	93.3	"A"	80.4	"A"	251.3	"P"	259.5	"P"	164	"P"	136.6	"P"	209.4	"P"	110.6	"P"	295.2	"P"	453.7	"P"	696	"P"	680	"P"	259	"P"	193.6	"P"	592.6	"P"	752.9	"P"	287.8	"P"	577.8	"P"	487	"P"	359.8	"P"	847.8	"P"	366.3	"P"	537.3	"P"	259	"P"	1213.3	"P"	190	"A"	391.9	"P"	-62.6	"A"	655.6	"P"	301.2	"P"	635.1	"P"	391.4	"P"	84.7	"A"	176.3	"P"	359.7	"P"	427.2	"P"	509.2	"P"	342.4	"P"	349.7	"P"	444.2	"P"	229.9	"A"	124.5	"A"	901.3	"P"	341.7	"P"	184.4	"A"	193.6	"P"	259	"P"	577	"P"	163.9	"A"	123.3	"P"	110.2	"M"	433.4	"P"	483.2	"P"	353.2	"P"	278.3	"A"	148.1	"P"	427.4	"P"	170	322	1.90	0.0003165129		
"33372_at"	"AI189226"	"RAB31, member RAS oncogene family"	2723	"P"	3918	"P"	6269.8	"P"	2363.7	"P"	2312.7	"P"	2563.6	"P"	2886	"P"	2821.7	"P"	4943.7	"P"	2464.9	"P"	9025.5	"P"	9219.4	"P"	10251.4	"P"	11877.1	"P"	10052.8	"P"	8514.7	"P"	4916.9	"P"	4916.9	"P"	5350.6	"P"	6207.4	"P"	8569	"P"	4333.9	"P"	3611.1	"P"	2074.1	"P"	1662.5	"P"	2341.9	"P"	4161	"P"	5208.3	"P"	6188.3	"P"	4650	"P"	3980.7	"P"	5192.9	"P"	4202.5	"P"	1932.9	"P"	3892.2	"P"	6129.1	"P"	8469.9	"P"	3003.2	"P"	3350.6	"P"	1522.9	"P"	4577	"P"	5315.6	"P"	3034.2	"P"	11827	"P"	3939.9	"P"	2087.4	"P"	3088.2	"P"	5192.3	"P"	5748.5	"P"	2079.6	"P"	3610.4	"P"	5316.2	"P"	9339.9	"P"	11006.2	"P"	12607.7	"P"	14698.9	"P"	7347.6	"P"	19849.3	"P"	12464.9	"P"	10442.6	"P"	6803.5	"P"	10150	"P"	5902.7	"P"	9012.1	"P"	14325.6	"P"	10468.2	"P"	7589.3	"P"	6000.5	"P"	11255.7	"P"	16482.8	"P"	9592.7	"P"	8096	"P"	7737	"P"	6125.8	"P"	4647.8	"P"	9613	"P"	8466.2	"P"	7568	"P"	9623.8	"P"	6452.1	"P"	6522.3	"P"	7383.7	"P"	5615.6	"P"	4973.5	"P"	8268.2	"P"	6292.1	"P"	3551.3	"P"	10085.3	"P"	6082	"P"	8332.1	"P"	5452	8776	1.61	0.000004523		
"33454_at"	"AF016903"	"Agrin"	1274.4	"P"	540.4	"P"	841.1	"P"	894.3	"P"	1775.8	"P"	762.5	"P"	1121.1	"P"	926.9	"P"	518.4	"P"	521.8	"P"	1687	"P"	1077.9	"P"	963.9	"A"	1170.5	"A"	1271	"P"	1004.1	"P"	1297.9	"A"	748.3	"A"	1472.9	"A"	1058.3	"P"	930.4	"P"	1131.8	"P"	595.3	"A"	635.7	"A"	770.3	"A"	866.5	"A"	1043.8	"A"	896.8	"A"	610	"P"	855.6	"P"	982.1	"P"	1027.1	"A"	836.1	"A"	990.2	"P"	835.1	"A"	733.6	"P"	642.9	"P"	855.1	"P"	828.4	"P"	963.2	"P"	918.4	"P"	864.1	"P"	856.3	"P"	5343	"P"	3229.1	"P"	1076.5	"P"	1914.8	"P"	2293.8	"P"	1092	"P"	976.7	"P"	989	"P"	1012.5	"P"	711	"P"	1774.6	"P"	590.1	"P"	1733.5	"P"	2411.1	"P"	2061.8	"P"	702.1	"P"	1204.6	"P"	2036.1	"P"	1440.3	"P"	1681.6	"A"	905.6	"P"	1244.2	"P"	1981.5	"A"	1768.7	"P"	909	"P"	2077.1	"P"	1436.5	"P"	1867.7	"A"	1572.7	"P"	1835.6	"P"	757.3	"M"	1854.6	"P"	3537.6	"P"	1249.4	"A"	686	"P"	1452	"A"	2326.6	"P"	5355	"P"	1015.2	"P"	958.8	"P"	3424.6	"P"	917.6	"P"	1639.8	"P"	950.2	"P"	1142.1	"P"	781	"A"	715.6	"P"	552	1307	2.37	2.60076613476712E-005		
"33555_at"	"AF041261"	"Leukocyte immunoglobulin-like receptor, subfamily A (without TM domain), member 4"	1187	"P"	567.5	"P"	572.9	"P"	1411.3	"P"	991.8	"P"	488.8	"P"	1361.5	"P"	157.2	"A"	667.9	"P"	1281.5	"P"	1257.2	"P"	2728.2	"P"	1996.8	"P"	2475	"P"	3104.2	"P"	708.5	"P"	438.4	"A"	1659.1	"P"	1359.2	"P"	1098.7	"P"	1320.2	"P"	1358.1	"P"	1658.1	"P"	2114.2	"P"	1413.1	"P"	2820.4	"P"	1932.9	"P"	1980.2	"P"	1395.7	"P"	1353.4	"P"	1261.5	"P"	2906.9	"P"	1273.8	"P"	3793.9	"P"	1448.4	"P"	1072.2	"P"	1952.8	"P"	4130.4	"P"	1558.2	"P"	1378.7	"P"	976	"P"	2341.5	"P"	1282.4	"P"	692	"P"	22.5	"A"	653.8	"P"	1448.5	"P"	667.6	"P"	935.4	"P"	1910.5	"P"	1542.6	"P"	635.6	"P"	615.5	"P"	812.3	"P"	1561.9	"P"	621.8	"P"	346.2	"P"	1052.2	"P"	665.6	"P"	853.3	"P"	789.1	"A"	550.8	"P"	1570.6	"P"	759.2	"A"	1015.6	"P"	1926.3	"P"	2330.3	"P"	698.7	"P"	931.3	"P"	1078.5	"P"	1000.8	"P"	1728	"P"	1013.6	"P"	2044.1	"P"	442.8	"P"	1293.8	"P"	891.3	"M"	522.2	"A"	1437.8	"P"	770.2	"P"	69.4	"M"	470.2	"P"	919.3	"P"	430.2	"A"	194.5	"P"	684.8	"P"	830.1	"P"	747.3	"M"	1075.5	"P"	1572.9	"P"	1806	1149	0.64	0.0006659503		
"33635_at"	"L22075"	"Guanine nucleotide binding protein (G protein), alpha 13"	243	"P"	279.1	"A"	361	"P"	629.8	"P"	337.3	"P"	225.2	"P"	492.6	"P"	167.9	"P"	204.8	"P"	288.9	"P"	539.7	"P"	723.6	"P"	444.8	"P"	499.1	"P"	1098	"P"	1144	"P"	2073.1	"P"	544.6	"P"	611.5	"P"	628.6	"P"	821	"P"	602.1	"P"	482.6	"P"	567.5	"P"	474.7	"P"	672.1	"P"	641.2	"A"	1089.4	"P"	1110.7	"P"	760.9	"P"	233.6	"P"	804.9	"P"	539.9	"P"	236	"P"	823.2	"P"	354.1	"P"	928.3	"P"	74.4	"A"	236.9	"A"	130.4	"P"	238.1	"P"	416.9	"P"	434	"P"	698	"P"	613.3	"P"	588.2	"P"	197.8	"P"	576.7	"P"	432.5	"P"	226.2	"P"	388.7	"P"	287.2	"P"	171.5	"A"	1233.2	"P"	897.1	"P"	1898.6	"P"	1083.7	"P"	484.7	"P"	1158.8	"P"	532.6	"P"	817.3	"P"	1888.8	"P"	1383.1	"P"	3168.4	"P"	947.1	"P"	1912.5	"P"	618.3	"P"	758	"P"	1569.4	"P"	1452.2	"P"	698.4	"P"	1965.1	"P"	2203.8	"P"	419.7	"P"	963.2	"P"	1793.2	"P"	2089.5	"P"	1313.7	"P"	1136	"P"	1245	"P"	1902.4	"P"	2819.4	"P"	3128.2	"P"	4703.3	"P"	2590.1	"P"	666.1	"P"	213.2	"P"	361.5	"A"	1239.6	"P"	942.4	"P"	613	1311	2.14	6.46954571196132E-006		
"34027_f_at"	"AA010078"	"H4 histone family, member D"	352.4	"P"	610.1	"A"	188.4	"A"	359	"P"	362.2	"A"	960.5	"M"	668.1	"A"	434.9	"A"	213.4	"A"	491.8	"A"	417.1	"A"	633.7	"P"	632.4	"P"	-21.9	"A"	815.2	"P"	530.9	"A"	297.9	"A"	656.7	"A"	417.7	"A"	670	"P"	413.1	"A"	398.9	"A"	468.8	"P"	293	"A"	465	"A"	546.8	"A"	811.8	"A"	513.7	"A"	704.9	"P"	507.5	"P"	215.2	"A"	431.1	"A"	312.7	"A"	512.8	"P"	481.6	"A"	259.9	"A"	442.9	"P"	1025.9	"P"	276	"A"	733.2	"A"	670.9	"P"	382.7	"A"	269.6	"A"	420	"P"	156	"A"	519.5	"P"	398.4	"M"	631.7	"A"	590.4	"A"	501.7	"A"	431.2	"P"	518.5	"P"	229.1	"A"	520.7	"P"	798.8	"P"	805.5	"P"	702.3	"P"	686.5	"A"	1005.4	"P"	491.2	"P"	1403.9	"P"	1421.9	"P"	1013.5	"A"	454.5	"A"	336.3	"A"	738.5	"P"	687.5	"A"	458.7	"P"	523.2	"P"	738.1	"P"	578.3	"A"	757.2	"P"	737.1	"A"	765.3	"P"	1139.7	"P"	959.3	"P"	721.5	"P"	930.3	"P"	567.4	"P"	713.7	"P"	666	"A"	590.2	"P"	585	"P"	514	"P"	570.6	"P"	1881.1	"P"	200.2	"A"	63	"A"	459.9	"P"	600.4	"P"	233	512	2.20	0.0009086833		
"34039_at"	"AJ001383"	"Lymphocyte antigen 94 homolog, activating NK-receptor; NK-p46, (mouse)"	177.9	"P"	805.1	"P"	624.3	"P"	1465	"P"	1157.3	"P"	1347.8	"P"	1415.6	"P"	8.2	"M"	810.5	"P"	1228.6	"P"	561.6	"P"	849.9	"P"	264.2	"P"	271.6	"P"	698.3	"P"	237.2	"A"	-136.8	"A"	1294.7	"P"	935.3	"P"	1017.5	"P"	1125.5	"P"	379.6	"P"	805.5	"P"	1899.9	"P"	1871.4	"P"	975	"P"	738.3	"P"	1634.4	"P"	1331.6	"P"	970.9	"P"	1307.5	"P"	2092.3	"P"	1154.9	"P"	637.4	"M"	1109.4	"P"	1070.2	"P"	1407.3	"P"	1281.8	"P"	1317.5	"P"	1216.1	"P"	925	"P"	849.7	"P"	571.2	"P"	277	"P"	-314.7	"A"	2103.3	"P"	1135.6	"P"	1905.1	"P"	661.9	"P"	992	"P"	1907.9	"P"	333.4	"P"	301	"P"	420.5	"P"	1190.6	"P"	380.2	"P"	84	"A"	800.5	"P"	-16	"A"	535.8	"P"	-272.7	"A"	575.1	"P"	1362.6	"P"	374.4	"P"	501.9	"P"	170.1	"A"	559.9	"P"	515.2	"P"	443.7	"P"	112.5	"A"	312.8	"P"	577.6	"P"	173.7	"P"	1047.9	"P"	1025.3	"P"	44	"A"	-268	"A"	217.9	"P"	499.1	"P"	416.3	"P"	32.4	"M"	385.9	"P"	96.1	"A"	50.6	"A"	-33.6	"A"	-14	"P"	1689.3	"P"	830.9	"P"	626.9	"P"	629.4	"P"	1000	575	0.57	0.0003939432		
"34055_at"	"L10126"	"Activin A receptor, type IB"	54.2	"A"	-64.6	"P"	131.5	"A"	122.3	"A"	131.7	"A"	251.7	"A"	166.3	"A"	120.5	"A"	111	"A"	67.3	"A"	264.4	"A"	222.8	"P"	64	"A"	207.4	"A"	218.4	"A"	196.6	"A"	84.6	"P"	209.4	"A"	209.6	"A"	65.2	"A"	69.5	"A"	218.8	"P"	31.5	"A"	280.4	"A"	174.5	"A"	27.9	"A"	-207.1	"A"	39.6	"A"	60.6	"A"	32.8	"A"	110.6	"A"	93.9	"P"	104.4	"A"	104.8	"A"	139.8	"M"	97.3	"A"	57.6	"A"	59.5	"A"	122.9	"A"	64.4	"A"	53.9	"A"	18.9	"A"	76.8	"A"	143	"A"	156.2	"P"	168.5	"P"	53.1	"A"	200.8	"A"	126	"M"	189	"A"	80.3	"A"	73.2	"A"	55.8	"A"	255.2	"A"	125.8	"A"	239.3	"A"	74.2	"A"	255.2	"P"	248.4	"A"	-0.3	"A"	327	"A"	209	"A"	135	"A"	769.4	"P"	66.6	"P"	523.8	"P"	271.9	"A"	88.6	"A"	74.1	"P"	190.9	"A"	259.2	"M"	240.9	"P"	711.8	"P"	195.1	"A"	36.1	"A"	235.4	"P"	373	"P"	499.4	"P"	82.2	"A"	140.3	"P"	514.5	"P"	330.6	"P"	435	"P"	773.8	"P"	458.3	"P"	135.1	"P"	64.4	"A"	-103.1	"A"	20.7	"A"	142.5	"P"	36	174	4.88	8.84245274861184E-005		
